<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURRUB,D,20200306,000000,75.8354000,77.7877000,75.4231000,77.3600000,401451
EURRUB,D,20200308,000000,77.3630000,82.4030000,77.3530000,81.9479000,467
EURRUB,D,20200309,000000,81.9486000,86.4576000,81.7200000,84.9040000,9118
EURRUB,D,20200310,000000,84.8733000,85.1146000,79.8100000,80.6093000,304627
EURRUB,D,20200311,000000,80.6024000,82.5560000,79.9037000,81.6036000,252306
EURRUB,D,20200312,000000,82.0237000,84.8534000,81.3218000,83.8670000,283437
EURRUB,D,20200313,000000,83.7130000,83.9650000,79.9201000,80.4730000,307152
EURRUB,D,20200315,000000,81.0543000,82.3522000,79.8740000,81.6620000,744
EURRUB,D,20200316,000000,81.5390000,84.3361000,80.4910000,82.9010000,403222
EURRUB,D,20200317,000000,82.9220000,83.4870000,81.7269000,82.2890000,373840
EURRUB,D,20200318,000000,82.7800000,90.0944000,82.2300000,88.5780000,358282
EURRUB,D,20200319,000000,88.1500000,89.4790000,83.7811000,84.1440000,83062
EURRUB,D,20200320,000000,84.0950000,85.6283000,83.1914000,85.5290000,315301
EURRUB,D,20200322,000000,85.2220000,86.4860000,85.0686000,86.0690000,5871
EURRUB,D,20200323,000000,86.0700000,87.3871000,84.9580000,85.2780000,278148
EURRUB,D,20200324,000000,85.4400000,86.0380000,84.0460000,84.5420000,285479
EURRUB,D,20200325,000000,84.2730000,85.7433000,83.3825000,85.3280000,355688
EURRUB,D,20200326,000000,85.2780000,86.1966000,84.5240000,85.3272000,384502
EURRUB,D,20200327,000000,85.4239000,87.9353000,85.1700000,87.7010000,364450
EURRUB,D,20200329,000000,87.7340000,88.7070000,87.4342000,88.3250000,82
EURRUB,D,20200330,000000,88.4810000,89.0223000,87.4140000,87.7980000,299186
EURRUB,D,20200331,000000,87.8150000,87.9160000,85.3819000,86.4210000,303867
EURRUB,D,20200401,000000,86.2890000,87.0875000,85.7877000,86.1450000,306330
EURRUB,D,20200402,000000,86.2320000,86.4860000,83.4840000,83.6650000,292795
EURRUB,D,20200403,000000,83.5068000,84.4540000,82.5436000,82.6070000,335049
EURRUB,D,20200405,000000,83.3190000,83.7510000,82.7660000,83.2092000,104
EURRUB,D,20200406,000000,83.2548000,83.6940000,81.7510000,81.9034000,278135
EURRUB,D,20200407,000000,81.9049000,82.7019000,81.4863000,82.1420000,287876
EURRUB,D,20200408,000000,82.1470000,82.3906000,81.2195000,81.5400000,235805
EURRUB,D,20200409,000000,81.2870000,81.6676000,79.3819000,81.2840000,172301
EURRUB,D,20200410,000000,81.1340000,81.3680000,80.0679000,80.3460000,146393
EURRUB,D,20200412,000000,80.5390000,80.7610000,79.9980000,79.9980000,43
EURRUB,D,20200413,000000,79.9890000,80.9088000,79.5440000,80.1480000,221994
EURRUB,D,20200414,000000,80.0580000,80.5491000,79.6660000,80.2340000,256636
EURRUB,D,20200415,000000,80.1970000,82.1660000,79.8262000,81.7090000,331704
EURRUB,D,20200416,000000,81.6960000,81.7230000,79.8274000,79.8975000,345494
EURRUB,D,20200417,000000,79.8982000,80.8602000,79.3296000,80.3090000,321855
EURRUB,D,20200419,000000,80.5210000,80.6080000,79.9187000,80.4470000,90
EURRUB,D,20200420,000000,80.4770000,82.0663000,80.2770000,81.9635000,330029
EURRUB,D,20200421,000000,81.9635000,84.1854000,81.4795000,83.7540000,335151
EURRUB,D,20200422,000000,83.2585000,84.2868000,81.2990000,82.0140000,365451
EURRUB,D,20200423,000000,81.7750000,82.1550000,80.0755000,80.1970000,352878
EURRUB,D,20200424,000000,80.5440000,80.7960000,79.7507000,80.5550000,345739
EURRUB,D,20200426,000000,80.7120000,80.9750000,80.3840000,80.3840000,68
EURRUB,D,20200427,000000,80.5730000,81.0294000,79.7287000,80.3000000,267939
EURRUB,D,20200428,000000,80.3430000,80.9488000,79.8290000,79.9100000,331642
EURRUB,D,20200429,000000,80.4160000,80.5770000,79.2859000,79.4040000,285834
EURRUB,D,20200430,000000,79.4167000,81.6213000,78.9323000,81.3710000,350006
EURRUB,D,20200501,000000,81.3470000,83.4563000,81.2800000,82.6000000,117334
