<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD000TOM,D,20200508,000000,1.0836900,1.0875000,1.0780000,1.0839500,23257000
EURUSD000TOM,D,20200512,000000,1.0822000,1.0884200,1.0806400,1.0847000,37225000
EURUSD000TOM,D,20200513,000000,1.0846500,1.0895000,1.0812000,1.0817400,41183000
EURUSD000TOM,D,20200514,000000,1.0800000,1.0817200,1.0775000,1.0800000,85688000
EURUSD000TOM,D,20200515,000000,1.0797400,1.0848000,1.0790000,1.0813600,36887000
EURUSD000TOM,D,20200518,000000,1.0821900,1.0926000,1.0801600,1.0917000,59323000
EURUSD000TOM,D,20200519,000000,1.0940200,1.0975000,1.0920000,1.0922200,46389000
EURUSD000TOM,D,20200520,000000,1.0942600,1.0997500,1.0938200,1.0973500,46754000
EURUSD000TOM,D,20200521,000000,1.0969000,1.1007000,1.0940000,1.0946000,59200000
EURUSD000TOM,D,20200522,000000,1.0928000,1.0928000,1.0886500,1.0900400,41872000
EURUSD000TOM,D,20200525,000000,1.0880000,1.0914100,1.0872200,1.0898800,22975000
EURUSD000TOM,D,20200526,000000,1.0921400,1.0995000,1.0914600,1.0988800,42961000
EURUSD000TOM,D,20200527,000000,1.0963000,1.1030000,1.0939000,1.1001500,87863000
EURUSD000TOM,D,20200528,000000,1.1014200,1.1091000,1.0991800,1.1077800,48626000
EURUSD000TOM,D,20200529,000000,1.1095600,1.1144600,1.1081800,1.1109500,46242000
EURUSD000TOM,D,20200601,000000,1.1136000,1.1151600,1.1101200,1.1132400,27430000
EURUSD000TOM,D,20200602,000000,1.1123900,1.1195000,1.1117000,1.1168200,33908000
EURUSD000TOM,D,20200603,000000,1.1210000,1.1255000,1.1185800,1.1233000,52567000
EURUSD000TOM,D,20200604,000000,1.1210000,1.1361000,1.1193900,1.1332000,67635000
EURUSD000TOM,D,20200605,000000,1.1373400,1.1380000,1.1279200,1.1288400,56736000
EURUSD000TOM,D,20200608,000000,1.1299000,1.1317800,1.1195000,1.1292800,60983000
