<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB,D,20210412,000000,77.4016000,77.7610000,77.0450000,77.3304000,512003
USDRUB,D,20210413,000000,77.3154000,77.5727000,75.7100000,75.9478000,671897
USDRUB,D,20210414,000000,75.9481000,76.0586000,75.3850000,75.8680000,668550
USDRUB,D,20210415,000000,76.0427000,77.5370000,75.6532000,76.0740000,658946
USDRUB,D,20210416,000000,76.0754000,76.6060000,75.2755000,75.7650000,515030
USDRUB,D,20210418,000000,75.8318000,76.1985000,75.7126000,75.9610000,2334
USDRUB,D,20210419,000000,75.9701000,76.5257000,75.7200000,76.3104000,680390
USDRUB,D,20210420,000000,76.3326000,77.2750000,75.8804000,76.6439000,739004
USDRUB,D,20210421,000000,76.6427000,77.2049000,76.2835000,76.5981000,627852
USDRUB,D,20210422,000000,76.6061000,76.7725000,75.1950000,75.4966000,635925
USDRUB,D,20210423,000000,75.5350000,75.5520000,74.6085000,74.8750000,610087
USDRUB,D,20210425,000000,74.8751000,76.4877000,74.6580000,74.9310000,3855
USDRUB,D,20210426,000000,74.6680000,75.7030000,74.5878000,75.0038000,705868
USDRUB,D,20210427,000000,74.9982000,75.3808000,74.5840000,74.8064000,666457
USDRUB,D,20210428,000000,74.8051000,74.9964100,74.2600000,74.3822000,618568
USDRUB,D,20210429,000000,74.3819000,75.0630000,74.1407000,74.5280000,704698
USDRUB,D,20210430,000000,74.7387000,76.0128000,74.4350000,75.1870000,732972
USDRUB,D,20210502,000000,75.1971000,75.8395000,74.8850000,74.9370000,2908
USDRUB,D,20210503,000000,75.2078000,75.8456000,74.6600000,74.8383000,94138
USDRUB,D,20210504,000000,74.8352000,75.3561400,74.4570000,74.7313000,712106
USDRUB,D,20210505,000000,74.7346000,74.9900100,74.4910000,74.8100000,615761
USDRUB,D,20210506,000000,74.8109000,74.8951000,73.9880000,74.1776000,629434
USDRUB,D,20210507,000000,74.1701000,74.3080000,73.3312000,73.7450000,665644
USDRUB,D,20210509,000000,73.7292000,73.9900000,73.4279000,73.6232000,4680
USDRUB,D,20210510,000000,73.6241000,74.3597000,73.4550000,74.2899000,786198
USDRUB,D,20210511,000000,74.2900000,74.4400000,73.7703000,74.1776000,1406009
USDRUB,D,20210512,000000,74.1788000,74.7505000,73.8741000,74.5886000,1397464
USDRUB,D,20210513,000000,74.6029000,74.6863000,73.7580000,74.0029000,1387529
USDRUB,D,20210514,000000,74.0001000,74.7861000,73.6682000,73.9900000,1099207
USDRUB,D,20210516,000000,73.9938000,74.6200000,73.8800000,74.0799000,373
USDRUB,D,20210517,000000,74.0790000,74.1103100,73.6545000,73.7876000,1220386
USDRUB,D,20210518,000000,73.7658000,74.0290000,73.3680000,73.6731000,1188343
USDRUB,D,20210519,000000,73.6723000,73.8938100,73.4796000,73.7591000,1379461
USDRUB,D,20210520,000000,73.7600000,73.9698000,73.2060000,73.4912000,1188232
USDRUB,D,20210521,000000,73.4898000,73.9087000,73.3099000,73.6231000,1111669
USDRUB,D,20210523,000000,73.6220000,73.8325000,73.4110000,73.6444000,2735
USDRUB,D,20210524,000000,73.6194000,73.8522000,73.2160000,73.4517000,872767
USDRUB,D,20210525,000000,73.4507000,73.7016000,73.1412000,73.5091000,1196930
USDRUB,D,20210526,000000,73.5127000,73.7104100,73.2190000,73.5383000,1077192
USDRUB,D,20210527,000000,73.5391000,73.6777000,73.1380000,73.4439000,1114305
